Order,Timestamp,AngleHeading,AnglePitch,AngleRoll,PosLat, PosLon,PosAlt,VelNorth,VelEast,VelDown,Speed2D
105.0,2021-09-08-18h08m45s783584us,64.19,-0.78,0.75,30.4976998,114.520172,44.376,0.01,0.01,0.0,0.02
106.0,2021-09-08-18h08m45s884291us,64.19,-0.78,0.75,30.4976998,114.520172,44.376,0.01,0.01,0.0,0.02
107.0,2021-09-08-18h08m45s985021us,64.19,-0.78,0.75,30.4976998,114.520172,44.376,0.01,0.01,0.0,0.02
108.0,2021-09-08-18h08m46s085752us,64.19,-0.78,0.75,30.4976998,114.520172,44.376,0.01,0.01,0.0,0.02
109.0,2021-09-08-18h08m46s186483us,64.19,-0.78,0.75,30.4976998,114.520172,44.376,0.01,0.01,0.0,0.02
111.0,2021-09-08-18h08m46s387944us,64.19,-0.77,0.75,30.4976998,114.520172,44.376,0.01,0.01,0.0,0.01
112.0,2021-09-08-18h08m46s488674us,64.19,-0.77,0.75,30.4976998,114.520172,44.376,0.01,0.01,0.0,0.01
113.0,2021-09-08-18h08m46s589406us,64.19,-0.77,0.75,30.4976998,114.520172,44.376,0.01,0.01,0.0,0.02
114.0,2021-09-08-18h08m46s690136us,64.19,-0.77,0.75,30.4976998,114.520172,44.376,0.01,0.01,0.0,0.02
115.0,2021-09-08-18h08m46s790866us,64.19,-0.77,0.75,30.4976998,114.520172,44.376,0.01,0.01,0.0,0.01
116.0,2021-09-08-18h08m46s891597us,64.19,-0.77,0.75,30.4976998,114.520172,44.377,0.01,0.01,0.0,0.02
117.0,2021-09-08-18h08m46s992329us,64.19,-0.77,0.75,30.4976998,114.520172,44.377,0.01,0.01,0.0,0.01
118.0,2021-09-08-18h08m47s093058us,64.19,-0.77,0.75,30.4976998,114.520172,44.378,0.01,0.01,0.0,0.01
119.0,2021-09-08-18h08m47s193789us,64.19,-0.77,0.75,30.4976998,114.520172,44.379,0.01,0.01,0.0,0.02
120.0,2021-09-08-18h08m47s294519us,64.19,-0.77,0.76,30.4976998,114.520172,44.379,0.01,0.01,0.0,0.02
121.0,2021-09-08-18h08m47s395250us,64.19,-0.77,0.75,30.4976998,114.520172,44.38,0.01,0.01,0.0,0.01
122.0,2021-09-08-18h08m47s495982us,64.19,-0.77,0.75,30.4976998,114.520172,44.381,0.01,0.01,0.0,0.01
123.0,2021-09-08-18h08m47s596711us,64.19,-0.77,0.75,30.4976998,114.520172,44.382,0.01,0.01,0.0,0.02
124.0,2021-09-08-18h08m47s697443us,64.19,-0.77,0.76,30.4976998,114.520172,44.382,0.01,0.01,0.0,0.02
125.0,2021-09-08-18h08m47s798172us,64.19,-0.77,0.75,30.4976998,114.520172,44.383,0.01,0.01,0.0,0.01
126.0,2021-09-08-18h08m47s898905us,64.19,-0.77,0.75,30.4976998,114.520172,44.384,0.01,0.01,0.0,0.01
127.0,2021-09-08-18h08m47s999634us,64.19,-0.77,0.76,30.4976998,114.520172,44.385,0.0,0.01,0.0,0.01
128.0,2021-09-08-18h08m48s100366us,64.19,-0.76,0.76,30.4976998,114.520172,44.385,0.01,0.01,0.0,0.01
129.0,2021-09-08-18h08m48s201096us,64.19,-0.77,0.76,30.4976998,114.520172,44.386,0.01,0.01,0.0,0.01
131.0,2021-09-08-18h08m48s402558us,64.19,-0.76,0.76,30.4976998,114.520172,44.386,0.0,0.01,0.0,0.01
132.0,2021-09-08-18h08m48s503287us,64.19,-0.76,0.76,30.4976998,114.520172,44.387,0.01,0.01,0.0,0.01
133.0,2021-09-08-18h08m48s604018us,64.19,-0.76,0.76,30.4976998,114.520172,44.387,0.01,0.01,0.0,0.01
134.0,2021-09-08-18h08m48s704748us,64.19,-0.76,0.75,30.4976998,114.520172,44.388,0.0,0.01,0.0,0.01
135.0,2021-09-08-18h08m48s805480us,64.19,-0.76,0.76,30.4976998,114.520172,44.388,0.0,0.01,0.0,0.01
