Order,Timestamp,AngleHeading,AnglePitch,AngleRoll,PosLat, PosLon,PosAlt,VelNorth,VelEast,VelDown,Speed2D
103,2021-09-08-18h08m45s783584us,65.96,0.55,1.3,30.4977269,114.5202388,44.457,-0.01,0.01,0.0,0.01
104,2021-09-08-18h08m45s884291us,65.96,0.55,1.31,30.4977269,114.5202388,44.457,-0.02,0.01,0.0,0.02
105,2021-09-08-18h08m45s985021us,65.96,0.55,1.32,30.4977269,114.5202388,44.457,-0.02,0.01,0.0,0.02
106,2021-09-08-18h08m46s085752us,65.96,0.55,1.32,30.4977269,114.5202388,44.457,-0.01,0.01,0.0,0.01
107,2021-09-08-18h08m46s186483us,65.97,0.54,1.31,30.4977269,114.5202388,44.457,-0.01,0.01,0.0,0.01
109,2021-09-08-18h08m46s387944us,65.96,0.55,1.35,30.4977269,114.5202388,44.458,-0.02,0.0,0.0,0.02
110,2021-09-08-18h08m46s488674us,65.96,0.56,1.35,30.4977269,114.5202388,44.457,-0.01,0.01,0.0,0.01
111,2021-09-08-18h08m46s589406us,65.95,0.56,1.34,30.497727,114.5202388,44.457,0.0,0.01,0.0,0.01
112,2021-09-08-18h08m46s690136us,65.95,0.55,1.31,30.497727,114.5202388,44.457,-0.01,0.0,0.0,0.01
113,2021-09-08-18h08m46s790866us,65.95,0.54,1.29,30.497727,114.5202388,44.458,-0.02,0.0,0.0,0.02
114,2021-09-08-18h08m46s891597us,65.95,0.55,1.31,30.497727,114.5202387,44.458,-0.02,0.0,0.0,0.02
115,2021-09-08-18h08m46s992329us,65.95,0.56,1.33,30.497727,114.5202387,44.459,-0.01,0.0,0.0,0.01
116,2021-09-08-18h08m47s093058us,65.95,0.55,1.3,30.497727,114.5202387,44.459,-0.01,0.0,0.0,0.01
117,2021-09-08-18h08m47s193789us,65.95,0.55,1.3,30.497727,114.5202387,44.46,-0.01,0.0,0.0,0.01
118,2021-09-08-18h08m47s294519us,65.95,0.55,1.29,30.497727,114.5202387,44.46,-0.01,0.0,0.0,0.01
119,2021-09-08-18h08m47s395250us,65.95,0.55,1.3,30.497727,114.5202387,44.461,-0.01,0.0,0.0,0.01
120,2021-09-08-18h08m47s495982us,65.95,0.55,1.3,30.497727,114.5202387,44.462,-0.01,0.0,0.0,0.01
121,2021-09-08-18h08m47s596711us,65.95,0.55,1.3,30.497727,114.5202387,44.463,-0.01,0.0,0.0,0.01
122,2021-09-08-18h08m47s697443us,65.95,0.55,1.29,30.497727,114.5202387,44.463,-0.01,0.0,0.0,0.01
123,2021-09-08-18h08m47s798172us,65.95,0.55,1.29,30.497727,114.5202387,44.463,-0.01,0.0,0.0,0.01
124,2021-09-08-18h08m47s898905us,65.95,0.55,1.3,30.497727,114.5202387,44.464,-0.01,0.0,0.0,0.01
125,2021-09-08-18h08m47s999634us,65.95,0.55,1.3,30.497727,114.5202387,44.464,-0.01,0.0,0.0,0.01
126,2021-09-08-18h08m48s100366us,65.95,0.55,1.3,30.497727,114.5202387,44.465,-0.01,0.0,0.0,0.01
127,2021-09-08-18h08m48s201096us,65.95,0.55,1.3,30.497727,114.5202387,44.465,-0.01,0.0,0.0,0.01
129,2021-09-08-18h08m48s402558us,65.95,0.55,1.3,30.497727,114.5202387,44.466,-0.01,0.0,0.0,0.01
130,2021-09-08-18h08m48s503287us,65.95,0.55,1.3,30.497727,114.5202387,44.467,-0.01,0.0,0.0,0.01
131,2021-09-08-18h08m48s604018us,65.95,0.55,1.3,30.497727,114.5202387,44.467,-0.01,0.0,0.0,0.01
132,2021-09-08-18h08m48s704748us,65.95,0.55,1.3,30.497727,114.5202387,44.468,-0.01,0.0,0.0,0.01
133,2021-09-08-18h08m48s805480us,65.95,0.54,1.3,30.497727,114.5202387,44.468,-0.01,0.0,0.0,0.01
134,2021-09-08-18h08m48s906210us,65.96,0.54,1.3,30.497727,114.5202387,44.468,-0.01,0.0,0.0,0.01
